direction,signal_time,entry_time,entry,sl,tp,orig_risk,exit_time,exit,reason,r_multiple,bars_held
short,2021-10-14 00:00:00+00:00,2021-10-15 00:00:00+00:00,0.7414898872375488,0.7559230072157723,0.7279876679182052,0.014433119978223496,2021-11-12 00:00:00+00:00,0.7279876679182052,BB mid TP,0.9277963362365251,20
long,2021-12-06 00:00:00+00:00,2021-12-07 00:00:00+00:00,0.7051191329956055,0.6925848977906364,0.7231414705514908,0.012534235204969102,2021-12-23 00:00:00+00:00,0.7231414705514908,BB mid TP,1.4294106814616907,12
short,2021-12-24 00:00:00+00:00,2021-12-27 00:00:00+00:00,0.7230710387229919,0.7383220876966204,0.7134184658527374,0.0152510489736285,2022-01-07 00:00:00+00:00,0.7134184658527374,BB mid TP,0.6258003781214923,9
long,2022-01-27 00:00:00+00:00,2022-01-28 00:00:00+00:00,0.703700065612793,0.688954872744424,0.7207282721996308,0.01474519286836895,2022-02-10 00:00:00+00:00,0.7207282721996308,BB mid TP,1.1476724467468957,9
short,2022-03-01 00:00:00+00:00,2022-03-02 00:00:00+00:00,0.7260582447052002,0.7422394497053963,0.7166235685348511,0.016181205000196153,2022-03-07 00:00:00+00:00,0.7422394497053963,SL,-1.0067305702328386,3
short,2022-03-24 00:00:00+00:00,2022-03-25 00:00:00+00:00,0.7511172890663147,0.7720446927206857,0.7314895570278168,0.020927403654370957,2022-04-22 00:00:00+00:00,0.7314895570278168,BB mid TP,0.9325124495824383,20
long,2022-04-25 00:00:00+00:00,2022-04-26 00:00:00+00:00,0.717849850654602,0.6987877573285785,0.7448884665966033,0.0190620933260236,2022-05-09 00:00:00+00:00,0.6987877573285785,SL,-1.0056487750718957,9
short,2022-06-03 00:00:00+00:00,2022-06-06 00:00:00+00:00,0.7204922437667847,0.7375568747520447,0.7055932223796845,0.01706463098526001,2022-06-10 00:00:00+00:00,0.7055932223796845,BB mid TP,0.8667604686741377,4
long,2022-06-14 00:00:00+00:00,2022-06-15 00:00:00+00:00,0.6889899373054504,0.6694314650126866,0.7115926891565323,0.019558472292763862,2022-07-14 00:00:00+00:00,0.6694314650126866,SL,-1.0052840778691112,21
short,2022-08-12 00:00:00+00:00,2022-08-15 00:00:00+00:00,0.7116677761077881,0.7320247547967094,0.6947206318378448,0.02035697868892128,2022-08-17 00:00:00+00:00,0.6947206318378448,BB mid TP,0.8272541009581156,2
long,2022-09-22 00:00:00+00:00,2022-09-23 00:00:00+00:00,0.66454017162323,0.6452349254063198,0.678796935081482,0.01930524621691021,2022-09-27 00:00:00+00:00,0.6452349254063198,SL,-1.00516341644253,2
long,2022-09-28 00:00:00+00:00,2022-09-29 00:00:00+00:00,0.6504995822906494,0.6277022191456386,0.6712684720754624,0.022797363145010796,2022-10-10 00:00:00+00:00,0.6277022191456386,SL (conflict),-1.004280097514916,7
short,2022-11-11 00:00:00+00:00,2022-11-14 00:00:00+00:00,0.6698821187019348,0.6973052195140294,0.6385423719882966,0.027423100812094536,2023-01-12 00:00:00+00:00,0.6973052195140294,SL,-1.0036641486494837,43
short,2023-01-13 00:00:00+00:00,2023-01-16 00:00:00+00:00,0.6973500847816467,0.7176755326134818,0.6784886240959167,0.020325447831835097,2023-02-24 00:00:00+00:00,0.6784886240959167,BB mid TP,0.9228263174420448,29
long,2023-02-27 00:00:00+00:00,2023-02-28 00:00:00+00:00,0.6743001937866211,0.6557157465389797,0.6930558860301972,0.01858444724764141,2023-05-24 00:00:00+00:00,0.6557157465389797,SL,-1.005442455603883,61
long,2023-05-25 00:00:00+00:00,2023-05-26 00:00:00+00:00,0.6498485803604126,0.634113073348999,0.667081406712532,0.015735507011413574,2023-06-06 00:00:00+00:00,0.667081406712532,BB mid TP,1.0889607212933416,7
short,2023-06-16 00:00:00+00:00,2023-06-19 00:00:00+00:00,0.6875999569892883,0.7041770475251334,0.6641695588827133,0.016577090535845107,2023-06-28 00:00:00+00:00,0.6641695588827133,BB mid TP,1.40719857097875,7
short,2023-07-14 00:00:00+00:00,2023-07-17 00:00:00+00:00,0.6837793588638306,0.7003284692764282,0.6719267725944519,0.016549110412597656,2023-07-24 00:00:00+00:00,0.6719267725944519,BB mid TP,0.7100091227021277,5
long,2023-08-03 00:00:00+00:00,2023-08-04 00:00:00+00:00,0.6561206579208374,0.638037988117763,0.6732039421796798,0.01808266980307438,2023-08-17 00:00:00+00:00,0.638037988117763,SL,-1.0054426752111236,9
long,2023-10-04 00:00:00+00:00,2023-10-05 00:00:00+00:00,0.6329101920127869,0.6182666676385062,0.6410281747579575,0.014643524374280625,2023-10-10 00:00:00+00:00,0.6410281747579575,BB mid TP,0.5478903856273901,3
short,2023-11-06 00:00:00+00:00,2023-11-07 00:00:00+00:00,0.6489419341087341,0.6630355971200126,0.6366524040699005,0.014093663011278457,2023-11-10 00:00:00+00:00,0.6366524040699005,BB mid TP,0.8650830333434597,3
short,2023-11-29 00:00:00+00:00,2023-11-30 00:00:00+00:00,0.6619009971618652,0.6763341171400887,0.6493721246719361,0.014433119978223496,2023-12-19 00:00:00+00:00,0.6763341171400887,SL,-1.006878980409231,13
short,2023-12-20 00:00:00+00:00,2023-12-21 00:00:00+00:00,0.6739816665649414,0.6891777515411377,0.6621238648891449,0.015196084976196289,2023-12-25 00:00:00+00:00,0.6891777515411377,SL,-1.0066528484239923,2
long,2024-01-17 00:00:00+00:00,2024-01-18 00:00:00+00:00,0.6551997661590576,0.6409901550837925,0.6747376024723053,0.014209611075265083,2024-04-16 00:00:00+00:00,0.6409901550837925,SL,-1.0069164429908244,63
long,2024-04-17 00:00:00+00:00,2024-04-18 00:00:00+00:00,0.6439813375473022,0.629492027418954,0.6533954352140426,0.014489310128348198,2024-04-25 00:00:00+00:00,0.6533954352140426,BB mid TP,0.6430603240301067,5
short,2024-05-16 00:00:00+00:00,2024-05-17 00:00:00+00:00,0.6683151721954346,0.6819457582065037,0.6552911758422851,0.013630586011069146,2024-07-25 00:00:00+00:00,0.6552911758422851,BB mid TP,0.9481433202376615,49
long,2024-07-26 00:00:00+00:00,2024-07-29 00:00:00+00:00,0.6554999947547913,0.645762928894588,0.669771420955658,0.009737065860203287,2024-08-05 00:00:00+00:00,0.645762928894588,SL,-1.0100980111077493,5
