direction,entry_time,entry,sl,tp1,tp2,orig_risk,exit_time,exit,reason,r_multiple,crt_high,crt_low,half_closed
long,2026-06-17 15:00:00+00:00,1.1594202518463135,1.1585793265274593,1.1599592566490173,1.1610356569290161,0.0008409253188541577,2026-06-17 18:00:00+00:00,1.1585793265274593,SL,-1.0,1.1610356569290161,1.1588828563690186,False
long,2026-06-18 19:30:00+00:00,1.1462632417678833,1.1451917333262307,1.1473835110664368,1.1490291357040405,0.0010715084416526022,2026-06-19 03:15:00+00:00,1.1451917333262307,SL,-1.0,1.1490291357040405,1.145737886428833,False
long,2026-06-22 08:15:00+00:00,1.145081877708435,1.145081877708435,1.1457386016845703,1.1466574668884277,0.0007536223956516874,2026-06-22 10:00:00+00:00,1.1466574668884277,TP1+TP2,1.481055478849961,1.1466574668884277,1.144819736480713,True
long,2026-06-23 09:45:00+00:00,1.141422152519226,1.1405735552310943,1.142728328704834,1.144164800643921,0.0008485972881318027,2026-06-23 10:45:00+00:00,1.1405735552310943,SL,-1.0,1.144164800643921,1.141291856765747,False
long,2026-06-23 12:30:00+00:00,1.1390818357467651,1.138494337456567,1.140383005142212,1.1419435739517212,0.0005874982901981074,2026-06-23 14:15:00+00:00,1.138494337456567,SL,-1.0,1.1419435739517212,1.1388224363327026,False
short,2026-06-24 16:45:00+00:00,1.1362345218658447,1.1372205419199808,1.1346256732940674,1.1328877210617065,0.0009860200541360609,2026-06-25 03:45:00+00:00,1.1372205419199808,SL,-1.0,1.1363636255264282,1.1328877210617065,False
long,2026-06-25 07:15:00+00:00,1.1357183456420898,1.1357183456420898,1.1363001465797424,1.1373976469039917,0.0009705654212406323,2026-06-25 08:30:00+00:00,1.1373976469039917,TP1+TP2,1.1648376039732453,1.1373976469039917,1.1352026462554932,True
short,2026-06-25 08:45:00+00:00,1.1370097398757935,1.1370097398757935,1.136171281337738,1.1349449157714844,0.0007197746208735811,2026-06-25 10:45:00+00:00,1.1349449157714844,TP1+TP2,2.0167998135588787,1.1373976469039917,1.1349449157714844,True
short,2026-06-25 14:15:00+00:00,1.1373976469039917,1.138654283966337,1.1355926394462585,1.1336582899093628,0.001256637062345245,2026-06-25 15:00:00+00:00,1.138654283966337,SL,-1.0,1.1375269889831543,1.1336582899093628,False
short,2026-06-29 16:15:00+00:00,1.1427265405654907,1.1433389799935476,1.1416190266609192,1.140380859375,0.0006124394280568879,2026-06-29 16:45:00+00:00,1.1433389799935476,SL,-1.0,1.1428571939468384,1.140380859375,False
short,2026-06-30 13:30:00+00:00,1.1402509212493896,1.1402509212493896,1.1396018266677856,1.1386927366256714,0.000849270820617587,2026-06-30 14:15:00+00:00,1.1402509212493896,Partial TP1 + BE,0.3821481710227513,1.1405109167099,1.1386927366256714,True
long,2026-07-01 10:15:00+00:00,1.1397310495376587,1.1387521939618246,1.1405116319656372,1.141422152519226,0.0009788555758341033,2026-07-01 12:00:00+00:00,1.1387521939618246,SL,-1.0,1.141422152519226,1.1396011114120483,False
long,2026-07-01 20:45:00+00:00,1.138044834136963,1.138044834136963,1.1388232111930847,1.1397310495376587,0.0004736176558903793,2026-07-02 06:45:00+00:00,1.1397310495376587,TP1+TP2,2.6018798351006436,1.1397310495376587,1.1379153728485107,True
short,2026-07-02 10:00:00+00:00,1.1411616802215576,1.1411616802215576,1.1399275064468384,1.1385631561279297,0.0013896201338086112,2026-07-02 12:30:00+00:00,1.1411616802215576,Partial TP1 + BE,0.44406875832198395,1.141291856765747,1.1385631561279297,True
long,2026-07-06 08:45:00+00:00,1.1423349380493164,1.1417418675763267,1.1429230570793152,1.1437721252441406,0.0005930704729897318,2026-07-06 09:45:00+00:00,1.1417418675763267,SL,-1.0,1.1437721252441406,1.1420739889144897,False
